,,,,,,,,,,,,,,,,,,,날짜,서울,부산,대구,인천,광주,대전,울산,경기,강원,충북,충남,전북,전남,경북,경남,제주,세종
날짜,서울,부산,대구,인천,광주,대전,울산,경기,강원,충북,충남,전북,전남,경북,경남,제주,세종,,,,,,,,,,,,,,,,,,,
2021-11-01,27,23,41,63,30,41,41,57,35,46,49,41,19,42,26,19,42,,,,,,,,,,,,,,,,,,,
2021-11-02,22,24,15,25,9,14,24,24,25,20,15,11,10,19,18,,19,,,,,,,,,,,,,,,,,,,
2021-11-03,9,19,11,12,24,10,14,11,13,10,19,23,18,12,16,54,13,,,,,,,,,,,,,,,,,,,
2021-11-04,31,28,27,40,42,28,30,38,27,25,41,27,34,28,30,57,30,,,,,,,,,,,,,,,,,,,
2021-11-05,38,32,33,34,49,27,30,41,26,27,40,42,35,36,41,48,42,,,,,,,,,,,,,,,,,,,
2021-11-06,11,19,17,13,26,13,19,13,16,13,18,22,21,19,23,28,13,,,,,,,,,,,,,,,,,,,
2021-11-07,11,18,18,12,19,12,18,12,15,14,14,16,15,19,21,23,13,,,,,,,,,,,,,,,,,,,
2021-11-08,23,25,25,25,30,25,23,27,21,28,28,28,22,26,28,28,22,,,,,,,,,,,,,,,,,,,
2021-11-09,24,29,24,25,24,23,29,29,20,27,28,25,19,26,26,21,27,,,,,,,,,,,,,,,,,,,
2021-11-10,30,35,28,36,29,36,35,41,24,42,41,31,25,28,31,23,41,,,,,,,,,,,,,,,,,,,
2021-11-11,35,29,26,43,49,43,26,42,27,40,60,53,32,30,30,28,47,,,,,,,,,,,,,,,,,,,
2021-11-12,24,35,26,27,34,27,41,29,29,29,34,33,28,41,32,34,30,,,,,,,,,,,,,,,,,,,
2021-11-13,20,27,22,23,28,20,26,25,23,24,29,27,23,28,27,36,23,,,,,,,,,,,,,,,,,,,
2021-11-14,34,30,30,41,41,30,27,40,26,34,36,35,29,30,32,36,32,,,,,,,,,,,,,,,,,,,
2021-11-15,20,24,23,28,40,24,22,30,15,26,41,41,27,24,29,33,28,,,,,,,,,,,,,,,,,,,
2021-11-16,28,22,27,35,41,26,20,35,20,32,41,40,27,24,28,26,28,,,,,,,,,,,,,,,,,,,
2021-11-17,29,20,27,41,49,36,19,40,25,40,56,53,31,26,32,30,31,,,,,,,,,,,,,,,,,,,
2021-11-18,17,15,22,24,25,19,15,24,20,27,31,30,22,24,20,21,28,,,,,,,,,,,,,,,,,,,
2021-11-19,22,15,15,26,26,21,14,28,17,27,35,28,19,17,17,28,28,,,,,,,,,,,,,,,,,,,
2021-11-20,41,17,25,43,38,29,15,42,22,41,46,40,27,23,24,29,38,,,,,,,,,,,,,,,,,,,
2021-11-21,42,17,25,53,35,30,16,51,29,40,58,41,28,23,25,26,42,,,,,,,,,,,,,,,,,,,
2021-11-22,41,21,22,53,33,22,19,49,30,30,43,29,24,23,25,28,32,,,,,,,,,,,,,,,,,,,
2021-11-23,23,25,31,33,34,24,27,34,28,32,38,32,27,31,30,30,40,,,,,,,,,,,,,,,,,,,
2021-11-24,27,19,26,33,32,25,18,33,29,32,40,31,29,27,28,32,38,,,,,,,,,,,,,,,,,,,
2021-11-25,25,20,20,26,34,28,22,31,24,31,35,31,24,25,23,33,35,,,,,,,,,,,,,,,,,,,
2021-11-26,24,29,27,22,30,26,28,27,26,30,29,28,25,31,30,32,27,,,,,,,,,,,,,,,,,,,
2021-11-27,25,20,21,22,27,27,20,30,28,35,34,27,18,25,24,22,30,,,,,,,,,,,,,,,,,,,
2021-11-28,31,27,35,32,41,34,29,38,34,43,41,35,27,36,32,22,38,,,,,,,,,,,,,,,,,,,
2021-11-29,96,97,85,102,72,68,110,95,83,72,83,70,74,96,102,90,63,,,,,,,,,,,,,,,,,,,
2021-11-30,27,42,35,28,32,32,42,31,32,35,33,33,25,41,40,31,30,,,,,,,,,,,,,,,,,,,
2021-12-01,92,94,90,82,116,104,97,95,101,101,87,102,120,106,93,164,87,,,,,,,,,,,,,,,,,,,
2021-12-02,76,54,73,68,80,78,54,85,71,86,79,78,68,65,67,86,76,,,,,,,,,,,,,,,,,,,
2021-12-03,54,54,56,53,68,73,49,63,42,71,76,66,56,55,57,62,77,,,,,,,,,,,,,,,,,,,
2021-12-04,16,22,22,17,48,27,21,20,18,24,32,47,31,23,29,33,27,,,,,,,,,,,,,,,,,,,
2021-12-05,36,30,36,36,41,41,30,42,30,46,27,47,32,33,34,32,40,,,,,,,,,,,,,,,,,,,
2021-12-06,49,42,27,46,43,42,42,57,42,56,47,41,35,47,43,34,43,,,,,,,,,,,,,,,,,,,
2021-12-07,51,41,40,49,48,43,40,57,46,54,49,47,35,43,42,38,43,,,,,,,,,,,,,,,,,,,
2021-12-08,27,47,46,41,33,27,49,53,48,55,41,41,29,48,46,27,42,,,,,,,,,,,,,,,,,,,
2021-12-09,42,40,42,42,38,43,41,54,36,57,48,27,31,43,35,28,43,,,,,,,,,,,,,,,,,,,
2021-12-10,40,29,41,41,46,41,29,27,32,51,27,43,35,41,34,35,49,,,,,,,,,,,,,,,,,,,
2021-12-11,26,35,25,22,42,25,27,29,25,26,30,34,41,24,33,58,25,,,,,,,,,,,,,,,,,,,
2021-12-12,41,38,40,41,41,41,40,27,36,42,38,35,30,40,34,32,38,,,,,,,,,,,,,,,,,,,
2021-12-13,34,38,42,36,42,34,38,40,30,27,41,41,30,41,36,28,43,,,,,,,,,,,,,,,,,,,
2021-12-14,21,28,27,22,29,28,26,26,19,26,30,28,24,29,26,33,26,,,,,,,,,,,,,,,,,,,
2021-12-15,24,41,27,28,41,36,40,29,26,40,41,34,31,40,41,38,34,,,,,,,,,,,,,,,,,,,
2021-12-16,34,41,51,34,27,49,46,41,31,54,56,42,32,51,41,29,49,,,,,,,,,,,,,,,,,,,
